case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,llm_reasoning,llm_raw_response,llm_parse_error,llm_api_error,model
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 80, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": 88}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 90, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": ""O2Sat was 80% on room air and is predicted to rise to 90% with high-FiO2 NRB oxygen, though pulmonary edema physiology without PEEP may limit full correction.""}","{""reasoning"":{""O2Sat"":""O2Sat was 80% on room air and is predicted to rise to 90% with high-FiO2 NRB oxygen, though pulmonary edema physiology without PEEP may limit full correction.""},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":90,""RR"":null,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.6666666666666666,2.80713376952364,3,0,"{""HR"": false, ""O2Sat"": false, ""RR"": false}","{""HR"": true, ""O2Sat"": true, ""RR"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""HR"": 120, ""O2Sat"": 85, ""RR"": 24}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 84, ""RR"": 38, ""T"": 36.9}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": ""HR rises from 110 to 120 over 5 minutes because untreated significant respiratory distress and pulmonary edema physiology increase sympathetic drive."", ""O2Sat"": ""O2Sat falls from 88% to 84% because despite NRB oxygen, no further intervention occurs and the underlying pulmonary edema/respiratory distress progresses."", ""RR"": ""RR increases from 34 to 38 as worsening hypoxemia and work of breathing continue without treatment.""}","{""reasoning"":{""BP_dia"":null,""BP_sys"":null,""HR"":""HR rises from 110 to 120 over 5 minutes because untreated significant respiratory distress and pulmonary edema physiology increase sympathetic drive."",""O2Sat"":""O2Sat falls from 88% to 84% because despite NRB oxygen, no further intervention occurs and the underlying pulmonary edema/respiratory distress progresses."",""RR"":""RR increases from 34 to 38 as worsening hypoxemia and work of breathing continue without treatment.""},""vitals"":{""BP_dia"":95,""BP_sys"":150,""HR"":120,""O2Sat"":84,""RR"":38,""T"":36.9}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p3,time_progression,no_action,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 82}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 80, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": ""O2Sat was 85% on NRB FiO2 0.8 and is predicted to fall to 80% with 8 minutes of no airway escalation in worsening pulmonary edema respiratory distress."", ""RR"": null, ""T"": null}","{""reasoning"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":""O2Sat was 85% on NRB FiO2 0.8 and is predicted to fall to 80% with 8 minutes of no airway escalation in worsening pulmonary edema respiratory distress."",""RR"":null,""T"":null},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":120,""O2Sat"":80,""RR"":24,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 89}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 91, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat was 85% on NRB FiO2 0.8 and is predicted to rise to 91% with assisted BVM at FiO2 1.0, though pulmonary edema may limit full correction.""}","{""reasoning"":{""O2Sat"":""O2Sat was 85% on NRB FiO2 0.8 and is predicted to rise to 91% with assisted BVM at FiO2 1.0, though pulmonary edema may limit full correction.""},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":91,""RR"":null,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 92}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 92, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat was 85% on NRB and is predicted to rise to 92% with BVM at FiO2 1.0 plus 5 cmH2O PEEP, though pulmonary edema physiology may limit full normalization.""}","{""reasoning"":{""O2Sat"":""O2Sat was 85% on NRB and is predicted to rise to 92% with BVM at FiO2 1.0 plus 5 cmH2O PEEP, though pulmonary edema physiology may limit full normalization.""},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":92,""RR"":null,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.75,2.9883105594967874,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": true, ""BP_sys"": false, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""BP_dia"": 85, ""BP_sys"": 155, ""HR"": 90, ""O2Sat"": 94}","{""BP_dia"": 88, ""BP_sys"": 135, ""HR"": 112, ""O2Sat"": 94, ""RR"": 24, ""T"": null}","{""BP_dia"": ""BP_dia was 95 and is predicted to decrease to 88 due to peri-intubation sedation/positive pressure effects in a distressed pulmonary edema patient."", ""BP_sys"": ""BP_sys was 150 and is predicted to decrease to 135 due to hemodynamic effects of intubation and initiation of positive-pressure ventilation."", ""HR"": ""HR was 120 and is predicted to decrease modestly to 112 as successful intubation improves severe hypoxemia and work of breathing."", ""O2Sat"": ""O2Sat was 85% on NRB and is predicted to improve to 94% after completed successful intubation provides controlled oxygenation/ventilation, though pulmonary edema may limit normalization.""}","{""reasoning"":{""BP_dia"":""BP_dia was 95 and is predicted to decrease to 88 due to peri-intubation sedation/positive pressure effects in a distressed pulmonary edema patient."",""BP_sys"":""BP_sys was 150 and is predicted to decrease to 135 due to hemodynamic effects of intubation and initiation of positive-pressure ventilation."",""HR"":""HR was 120 and is predicted to decrease modestly to 112 as successful intubation improves severe hypoxemia and work of breathing."",""O2Sat"":""O2Sat was 85% on NRB and is predicted to improve to 94% after completed successful intubation provides controlled oxygenation/ventilation, though pulmonary edema may limit normalization.""},""vitals"":{""BP_dia"":88,""BP_sys"":135,""HR"":112,""O2Sat"":94,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,2.2825424421026654,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 96, ""BP_sys"": 150, ""HR"": 85}","{""BP_dia"": 85, ""BP_sys"": 170, ""HR"": 85, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""BP_dia decreases from 100 to 85 because a negative inotrope/rate-control agent lowers contractility and blood pressure in this hypertensive tachycardic presentation."", ""BP_sys"": ""BP_sys decreases from 210 to 170 because negative inotropy and rate control would be expected to reduce the markedly elevated systolic pressure."", ""HR"": ""HR decreases from 110 to 85 because the negative inotrope/rate-control action directly slows sinus tachycardia.""}","{""reasoning"":{""BP_dia"":""BP_dia decreases from 100 to 85 because a negative inotrope/rate-control agent lowers contractility and blood pressure in this hypertensive tachycardic presentation."",""BP_sys"":""BP_sys decreases from 210 to 170 because negative inotropy and rate control would be expected to reduce the markedly elevated systolic pressure."",""HR"":""HR decreases from 110 to 85 because the negative inotrope/rate-control action directly slows sinus tachycardia.""},""vitals"":{""BP_dia"":85,""BP_sys"":170,""HR"":85,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,4.448595283907045,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 135, ""HR"": 85}","{""BP_dia"": 85, ""BP_sys"": 170, ""HR"": 112, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""BP_dia decreases from 100 to 85 with vasodilator treatment reducing vascular tone in severe hypertension."", ""BP_sys"": ""BP_sys decreases from 210 to 170 after a vasodilator, a moderate acute reduction appropriate for hypertensive aortic-dissection physiology without assuming full normalization."", ""HR"": ""HR remains close to 110, predicted 112, as vasodilation may cause slight reflex tachycardia while pain/stress persists.""}","{""reasoning"":{""BP_dia"":""BP_dia decreases from 100 to 85 with vasodilator treatment reducing vascular tone in severe hypertension."",""BP_sys"":""BP_sys decreases from 210 to 170 after a vasodilator, a moderate acute reduction appropriate for hypertensive aortic-dissection physiology without assuming full normalization."",""HR"":""HR remains close to 110, predicted 112, as vasodilation may cause slight reflex tachycardia while pain/stress persists.""},""vitals"":{""BP_dia"":85,""BP_sys"":170,""HR"":112,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",0.5,2.33238075793812,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": false, ""BP_sys"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 200}","{""BP_dia"": 88, ""BP_sys"": 180, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""BP_dia falls from 100 to 88 because sublingual nitroglycerin provides acute vasodilation and lowers preload/arterial pressure."", ""BP_sys"": ""BP_sys falls from 210 to 180 because sublingual nitroglycerin can rapidly reduce severe hypertension, though hypertension may persist in suspected aortic dissection.""}","{""reasoning"":{""BP_dia"":""BP_dia falls from 100 to 88 because sublingual nitroglycerin provides acute vasodilation and lowers preload/arterial pressure."",""BP_sys"":""BP_sys falls from 210 to 180 because sublingual nitroglycerin can rapidly reduce severe hypertension, though hypertension may persist in suspected aortic dissection.""},""vitals"":{""BP_dia"":88,""BP_sys"":180,""HR"":null,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.0,32.71146587971869,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""BP_dia was 100 and is predicted to remain 100 because heparin has no immediate blood pressure-lowering effect despite being inappropriate/harmful in suspected dissection."", ""BP_sys"": ""BP_sys was 210 and is predicted to remain 210 because anticoagulation does not acutely treat the severe hypertension driving the dissection physiology."", ""HR"": ""HR was 110 and is predicted to remain 110 because heparin would not be expected to immediately change sinus tachycardia from pain/stress."", ""O2Sat"": ""O2Sat was 99 and is predicted to remain 99 because heparin does not directly affect oxygenation in the immediate transition."", ""RR"": ""RR was 20 and is predicted to remain 20 because anticoagulation should not acutely alter respiratory rate in this context.""}","{""reasoning"":{""BP_dia"":""BP_dia was 100 and is predicted to remain 100 because heparin has no immediate blood pressure-lowering effect despite being inappropriate/harmful in suspected dissection."",""BP_sys"":""BP_sys was 210 and is predicted to remain 210 because anticoagulation does not acutely treat the severe hypertension driving the dissection physiology."",""HR"":""HR was 110 and is predicted to remain 110 because heparin would not be expected to immediately change sinus tachycardia from pain/stress."",""O2Sat"":""O2Sat was 99 and is predicted to remain 99 because heparin does not directly affect oxygenation in the immediate transition."",""RR"":""RR was 20 and is predicted to remain 20 because anticoagulation should not acutely alter respiratory rate in this context.""},""vitals"":{""BP_dia"":100,""BP_sys"":210,""HR"":110,""O2Sat"":99,""RR"":20,""T"":null}}",,,gpt-5.5
