case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,llm_reasoning,llm_raw_response,llm_parse_error,llm_api_error,model
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 80, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": 88}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 90, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": ""O2Sat rises from 80% to 90% due to high FiO2 via NRB improving oxygenation, though lack of PEEP and ongoing pulmonary edema limit full normalization.""}","{""reasoning"":{""O2Sat"":""O2Sat rises from 80% to 90% due to high FiO2 via NRB improving oxygenation, though lack of PEEP and ongoing pulmonary edema limit full normalization.""},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":90,""RR"":null,""T"":null}}",,,gpt-5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.6666666666666666,2.4413111231467406,3,0,"{""HR"": false, ""O2Sat"": false, ""RR"": false}","{""HR"": true, ""O2Sat"": true, ""RR"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""HR"": 120, ""O2Sat"": 85, ""RR"": 24}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 116, ""O2Sat"": 84, ""RR"": 36, ""T"": 36.9}","{""HR"": ""HR rises from 110 to 116 due to sympathetic response to persistent hypoxemia and distress over 5 minutes without intervention."", ""O2Sat"": ""O2Sat falls from 88 to 84 as pulmonary edema progresses on NRB without positive pressure support."", ""RR"": ""RR increases from 34 to 36 reflecting increasing work of breathing and hypoxemic drive without treatment.""}","{""reasoning"":{""HR"":""HR rises from 110 to 116 due to sympathetic response to persistent hypoxemia and distress over 5 minutes without intervention."",""O2Sat"":""O2Sat falls from 88 to 84 as pulmonary edema progresses on NRB without positive pressure support."",""RR"":""RR increases from 34 to 36 reflecting increasing work of breathing and hypoxemic drive without treatment.""},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":116,""O2Sat"":84,""RR"":36,""T"":null}}",,,gpt-5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p3,time_progression,no_action,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 82}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 80, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat falls from 85% to 80% over 8 minutes without escalation (no BiPAP/intubation) due to ongoing pulmonary edema and fatigue on NRB 0.8 FiO2.""}","{""reasoning"":{""O2Sat"":""O2Sat falls from 85% to 80% over 8 minutes without escalation (no BiPAP/intubation) due to ongoing pulmonary edema and fatigue on NRB 0.8 FiO2.""},""vitals"":{""BP_sys"":null,""HR"":null,""O2Sat"":80,""RR"":null,""T"":null,""BP_dia"":null}}",,,gpt-5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.2,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 89}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 90, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat improves from 85% to 90% with BVM at FiO2 1.0 providing better alveolar ventilation and higher FiO2, but without PEEP the pulmonary edema limits greater improvement.""}","{""reasoning"":{""O2Sat"":""O2Sat improves from 85% to 90% with BVM at FiO2 1.0 providing better alveolar ventilation and higher FiO2, but without PEEP the pulmonary edema limits greater improvement.""},""vitals"":{""BP_sys"":null,""HR"":null,""O2Sat"":90,""RR"":null,""T"":null,""BP_dia"":null}}",,,gpt-5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 92}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 92, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat improves from 85% on NRB (FiO2 0.8) to 92% with BVM at FiO2 1.0 and PEEP 5 cmH2O due to higher inspired oxygen and alveolar recruitment in pulmonary edema.""}","{""reasoning"":{""O2Sat"":""O2Sat improves from 85% on NRB (FiO2 0.8) to 92% with BVM at FiO2 1.0 and PEEP 5 cmH2O due to higher inspired oxygen and alveolar recruitment in pulmonary edema.""},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":92,""RR"":null,""T"":null}}",,,gpt-5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.5,2.5806975801127883,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""BP_dia"": 85, ""BP_sys"": 155, ""HR"": 90, ""O2Sat"": 94}","{""BP_dia"": 90, ""BP_sys"": 140, ""HR"": 110, ""O2Sat"": 96, ""RR"": 24, ""T"": null}","{""BP_dia"": ""BP diastolic 95 to 90, small decrease paralleling systolic due to reduced preload with positive pressure."", ""BP_sys"": ""BP systolic 150 to 140, mild drop expected from positive pressure ventilation reducing preload after intubation."", ""HR"": ""HR 120 to 110, slight decrease due to improved oxygenation and reduced work of breathing after successful intubation."", ""O2Sat"": ""O2Sat 85% to 96%, significant improvement with secured airway and high FiO2/ventilation.""}","{""reasoning"":{""HR"":""HR 120 to 110, slight decrease due to improved oxygenation and reduced work of breathing after successful intubation."",""BP_sys"":""BP systolic 150 to 140, mild drop expected from positive pressure ventilation reducing preload after intubation."",""BP_dia"":""BP diastolic 95 to 90, small decrease paralleling systolic due to reduced preload with positive pressure."",""O2Sat"":""O2Sat 85% to 96%, significant improvement with secured airway and high FiO2/ventilation.""},""vitals"":{""BP_dia"":90,""BP_sys"":140,""HR"":110,""O2Sat"":96,""RR"":null,""T"":null}}",,,gpt-5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,4.166533331199932,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 96, ""BP_sys"": 150, ""HR"": 85}","{""BP_dia"": 90, ""BP_sys"": 190, ""HR"": 95, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""Before 100 -> after 90, a modest decrease consistent with beta-blocker/negative inotrope lowering diastolic pressure by reducing cardiac output."", ""BP_sys"": ""Before 210 -> after 190, slight reduction expected from negative inotropy without specified aggressive dosing or vasodilation."", ""HR"": ""Before 110 -> after 95, decreased due to negative chronotropic effect of a negative inotrope/beta‑blocker.""}","{""reasoning"":{""BP_dia"":""Before 100 -> after 90, a modest decrease consistent with beta-blocker/negative inotrope lowering diastolic pressure by reducing cardiac output."",""BP_sys"":""Before 210 -> after 190, slight reduction expected from negative inotropy without specified aggressive dosing or vasodilation."",""HR"":""Before 110 -> after 95, decreased due to negative chronotropic effect of a negative inotrope/beta‑blocker.""},""vitals"":{""BP_dia"":90,""BP_sys"":190,""HR"":95,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,5.787918451395113,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 135, ""HR"": 85}","{""BP_dia"": 90, ""BP_sys"": 180, ""HR"": 120, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""Dia BP 100 -> 90 mmHg, decreased due to vasodilator lowering systemic vascular resistance."", ""BP_sys"": ""Sys BP 210 -> 180 mmHg, decreased from vasodilator effect reducing afterload in hypertensive crisis."", ""HR"": ""HR 110 -> 120 bpm, slight increase from reflex tachycardia after vasodilation without beta blockade.""}","{""reasoning"":{""BP_dia"":""Dia BP 100 -> 90 mmHg, decreased due to vasodilator lowering systemic vascular resistance."",""BP_sys"":""Sys BP 210 -> 180 mmHg, decreased from vasodilator effect reducing afterload in hypertensive crisis."",""HR"":""HR 110 -> 120 bpm, slight increase from reflex tachycardia after vasodilation without beta blockade.""},""vitals"":{""BP_dia"":90,""BP_sys"":180,""HR"":120,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",1.0,1.118033988749895,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": true, ""BP_sys"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 200}","{""BP_dia"": 95, ""BP_sys"": 190, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""DBP decreases from 100 to ~95 mmHg due to vasodilatory effects of sublingual nitroglycerin lowering afterload."", ""BP_sys"": ""SBP decreases from 210 to ~190 mmHg as sublingual nitroglycerin reduces preload/afterload in a hypertensive patient.""}","{""reasoning"":{""BP_dia"":""DBP decreases from 100 to ~95 mmHg due to vasodilatory effects of sublingual nitroglycerin lowering afterload."",""BP_sys"":""SBP decreases from 210 to ~190 mmHg as sublingual nitroglycerin reduces preload/afterload in a hypertensive patient.""},""vitals"":{""BP_dia"":95,""BP_sys"":190,""HR"":null,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.2,32.10202485825466,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0}","{""BP_dia"": 95, ""BP_sys"": 200, ""HR"": 115, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""Before 100, predicted 95 (slight decrease) in parallel with systolic drop from potential hemodynamic compromise after heparin."", ""BP_sys"": ""Before 210, predicted 200 (slight decrease) reflecting possible worsening hemodynamics from anticoagulation in aortic dissection without antihypertensive therapy."", ""HR"": ""Before 110, predicted 115 (slight increase) due to potential hemodynamic instability risk after inappropriate anticoagulation in suspected dissection causing compensatory tachycardia."", ""O2Sat"": ""Before 99, predicted 99 (no change) since oxygenation is adequate and heparin does not acutely alter O2 saturation."", ""RR"": ""Before 20, predicted 20 (no change) as heparin does not directly affect respiratory drive immediately.""}","{""reasoning"":{""HR"":""Before 110, predicted 115 (slight increase) due to potential hemodynamic instability risk after inappropriate anticoagulation in suspected dissection causing compensatory tachycardia."",""BP_sys"":""Before 210, predicted 200 (slight decrease) reflecting possible worsening hemodynamics from anticoagulation in aortic dissection without antihypertensive therapy."",""BP_dia"":""Before 100, predicted 95 (slight decrease) in parallel with systolic drop from potential hemodynamic compromise after heparin."",""RR"":""Before 20, predicted 20 (no change) as heparin does not directly affect respiratory drive immediately."",""O2Sat"":""Before 99, predicted 99 (no change) since oxygenation is adequate and heparin does not acutely alter O2 saturation.""},""vitals"":{""HR"":115,""BP_sys"":200,""BP_dia"":95,""RR"":20,""O2Sat"":99,""T"":null}}",,,gpt-5
